company,url
Google,https://careers.google.com/jobs/results/123456789/
Microsoft,https://careers.microsoft.com/us/en/job/123456
Amazon,https://www.amazon.jobs/en/jobs/123456
Apple,https://jobs.apple.com/en-us/details/123456
Meta,https://www.metacareers.com/jobs/123456789
Netflix,https://jobs.netflix.com/jobs/123456
Tesla,https://www.tesla.com/careers/search/job/123456
Spotify,https://www.lifeatspotify.com/jobs/123456
Airbnb,https://careers.airbnb.com/positions/123456
Uber,https://www.uber.com/careers/list/123456
